File Name,Call Type,Length (seconds),Start Time,Trap Number
Crossroad-090418_230002-S333-E355,Male,22.0,2018-04-10 11:05,Secretary_Island/Crossroad
Crossroad-090418_230002-S558-E571,Male,13.0,2018-04-10 11:09,Secretary_Island/Crossroad
Crossroad-090418_230002-S574-E587,Male,13.0,2018-04-10 11:09,Secretary_Island/Crossroad
Crossroad-090418_230002-S875-E889,Male,14.0,2018-04-10 11:14,Secretary_Island/Crossroad
Crossroad-090418_231502-S110-E126,Male,16.0,2018-04-10 11:16,Secretary_Island/Crossroad
Crossroad-090418_231502-S561-E575,Male,14.0,2018-04-10 11:24,Secretary_Island/Crossroad
Crossroad-090418_233002-S352-E362,Male,10.0,2018-04-10 11:35,Secretary_Island/Crossroad
Crossroad-090418_233002-S527-E545,Male,18.0,2018-04-10 11:38,Secretary_Island/Crossroad
Crossroad-090419_220001-S358-E367,Male,9.0,2019-04-10 10:05,Secretary_Island/Crossroad
Crossroad-090419_220001-S397-E415,Male,18.0,2019-04-10 10:06,Secretary_Island/Crossroad
Crossroad-090419_221502-S593-E608,Male,15.0,2019-04-10 10:24,Secretary_Island/Crossroad
Crossroad-090419_221502-S619-E625,Female,6.0,2019-04-10 10:25,Secretary_Island/Crossroad
Crossroad-090419_231502-S319-E330,Male,11.0,2019-04-10 11:20,Secretary_Island/Crossroad
Crossroad-090420_220001-S31-E46,Male,15.0,2020-04-10 10:00,Secretary_Island/Crossroad
Crossroad-090420_220001-S45-E60,Female,15.0,2020-04-10 10:00,Secretary_Island/Crossroad
Crossroad-090420_220001-S64-E73,Male,9.0,2020-04-10 10:01,Secretary_Island/Crossroad
Crossroad-090420_230002-S380-E386,Female,6.0,2020-04-10 11:06,Secretary_Island/Crossroad
Crossroad-090420_230002-S389-E410,Male,21.0,2020-04-10 11:06,Secretary_Island/Crossroad
Crossroad-090420_230002-S749-E761,Male,12.0,2020-04-10 11:12,Secretary_Island/Crossroad
Crossroad-090519_233002-S594-E610,Male,16.0,2019-05-10 11:39,Secretary_Island/Crossroad
Crossroad-090519_233002-S612-E628,Male,16.0,2019-05-10 11:40,Secretary_Island/Crossroad
Crossroad-090519_233002-S797-E818,Male,21.0,2019-05-10 11:43,Secretary_Island/Crossroad
Crossroad-100320_220001-S644-E658,Male,14.0,2020-03-11 11:10,Secretary_Island/Crossroad
Crossroad-100320_224502-S92-E102,Female,10.0,2020-03-11 11:46,Secretary_Island/Crossroad
Crossroad-100320_233002-S741-E748,Male,7.0,2020-03-11 12:42,Secretary_Island/Crossroad
Crossroad-100320_233002-S751-E761,Male,10.0,2020-03-11 12:42,Secretary_Island/Crossroad
Crossroad-100418_230002-S879-E897,Male,18.0,2018-04-11 11:14,Secretary_Island/Crossroad
Crossroad-100418_231502-S162-E180,Male,18.0,2018-04-11 11:17,Secretary_Island/Crossroad
